,loss,accuracy,val_loss,val_accuracy
0,0.5859398245811462,0.7247454524040222,0.5232921242713928,0.7724000215530396
1,0.49571266770362854,0.7899090647697449,0.4705295264720917,0.7983999848365784
2,0.4582672119140625,0.809327244758606,0.43934178352355957,0.8136000037193298
3,0.43585649132728577,0.8202909231185913,0.41966214776039124,0.8252000212669373
4,0.4210549592971802,0.8266181945800781,0.4062049984931946,0.8324000239372253
5,0.41047564148902893,0.8314727544784546,0.39637449383735657,0.8381999731063843
6,0.40264037251472473,0.8345090746879578,0.38897377252578735,0.8416000008583069
7,0.3965570330619812,0.837218165397644,0.38297462463378906,0.8424000144004822
8,0.3916112780570984,0.8393999934196472,0.37829625606536865,0.8450000286102295
9,0.38758987188339233,0.8405636548995972,0.3741113841533661,0.847599983215332
