,loss,accuracy,val_loss,val_accuracy
0,1.6599565744400024,0.5724727511405945,1.0590277910232544,0.7946000099182129
1,0.8144211769104004,0.8251818418502808,0.6324356198310852,0.8529999852180481
2,0.5732324123382568,0.8586363792419434,0.49530166387557983,0.873199999332428
3,0.4810170531272888,0.873018205165863,0.4306402802467346,0.8871999979019165
4,0.4325699508190155,0.8829272985458374,0.3930314779281616,0.8935999870300293
5,0.4020558297634125,0.8888182044029236,0.36798086762428284,0.897599995136261
6,0.38051536679267883,0.8940363526344299,0.3493577837944031,0.9020000100135803
7,0.3641808331012726,0.8976181745529175,0.3352656662464142,0.9046000242233276
8,0.3510405123233795,0.9006727337837219,0.3247533440589905,0.9071999788284302
9,0.34039098024368286,0.9035817980766296,0.314610093832016,0.9089999794960022
